Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Robin Monotti,@robinmonotti,"https://pbs.twimg.com/media/F5iLwwcXIAAe64C?format=jpg&name=900x900, https://pbs.twimg.com/media/F5iLwwcXIAAe64C?format=jpg&name=900x900",10K,21K,501,2.5M,https://x.com/robinmonotti/status/1700262536921088462,https://x.com/robinmonotti,"PHYSICS NOBEL PRIZE 2022
SIGNS CLIMATE DECLARATION:
THERE IS NO CLIMATE EMERGENCY ‐ CLAUSER & a global network of over 1,609 scientists and professionals has prepared this urgent message:

Natural as well as anthropogenic factors cause warming

The geological archive reveals that",09-Aug-23,2023-09-08T21:39:12.000Z
Robin Monotti,@robinmonotti,"https://pbs.twimg.com/media/F85HJgLW8AAy66l?format=jpg&name=900x900, https://pbs.twimg.com/media/F85HJgLW8AAy66l?format=jpg&name=900x900",1.9K,3K,60,153K,https://x.com/robinmonotti/status/1715386742931341745,https://x.com/robinmonotti,"PHYSICS NOBEL PRIZE 2022
SIGNED CLIMATE DECLARATION:
THERE IS NO CLIMATE EMERGENCY ‐ CLAUSER & a global network of over 1,609 scientists and professionals has prepared this urgent message:

Natural as well as anthropogenic factors cause warming

The geological archive reveals",20-Oct-23,2023-10-20T15:17:24.000Z
UN Environment Programme,@UNEP,"https://pbs.twimg.com/amplify_video_thumb/1158997751687995392/img/2b3rXSrJVoMMgKHi.jpg, https://pbs.twimg.com/amplify_video_thumb/1158997751687995392/img/2b3rXSrJVoMMgKHi.jpg, https://pbs.twimg.com/amplify_video_thumb/1158997751687995392/img/2b3rXSrJVoMMgKHi.jpg",1.2K,1.8K,37,150K,https://x.com/UNEP/status/1160415586129780736,https://x.com/UNEP,"Climate change has ripple effects. Some of the most devastating chain reactions to climate change are:
Extreme weather
Loss of biodiversity
Rising sea-levels 
Extreme heat and drought

We need to #ActNow 
#ClimateAction",08-Nov-19,2019-08-11T05:00:09.000Z
UN Climate Change,@UNFCCC,"https://pbs.twimg.com/media/D6nwn3cXoAAX1U4.jpg, https://pbs.twimg.com/media/D6nwn3cXoAAX1U4.jpg, https://pbs.twimg.com/media/D6nwn3cXoAAX1U4.jpg",243,227,9,100,https://x.com/UNFCCC/status/1130080661753147392,https://x.com/UNFCCC,"Accelerating #ClimateChange impacts mean that farmers around the world need to adopt ""disaster resilient"" farming practices in order to grow adequate #Food for growing populations http://bit.ly/2Hmc37L 

91% of all disasters between 1998 & 2017 were #climate-related. #GAR2019",19-May-19,2019-05-19T12:00:00.000Z
Alex Epstein,@AlexEpstein,"https://pbs.twimg.com/media/GIKmEwZbgAAQ207?format=jpg&name=small, https://pbs.twimg.com/media/GIKmEwZbgAAQ207?format=jpg&name=small",119,390,11,29K,https://x.com/AlexEpstein/status/1766156613839401047,https://x.com/AlexEpstein,"It's an irrefutable but little-known fact that as the world has warmed 1° C, humans have become safer than ever from climate danger. The rate of climate-related disaster deaths—from storms, floods, temperature extremes, wildfires, and drought—has fallen 98% in the last century.",03-Aug-24,2024-03-08T17:38:44.000Z
Geospatial World,@geoworldmedia,,145.5,1,15,219,https://x.com/geoworldmedia/status/1833843869974253707,https://x.com/geoworldmedia,"https://geospatialworld.net/videos/fostering-climate-and-social-resilience/…

#GWPrimeLive | In a deep-dive discussion with Dr. @KattumuriRuth, Senior Director Economic, Youth & Sustainable Development Directorate, The @commonwealthsec shares her valuable insights on the intersection between climate change, socio-economic",09-Nov-24,2024-09-11T12:23:44.000Z
Michael Shellenberger,@shellenberger,"https://pbs.twimg.com/media/EoCZWHzUUAA-iWR?format=jpg&name=small, https://pbs.twimg.com/media/EoCZWHzUUAA-iWR?format=jpg&name=small",172,745,11,1K,https://x.com/shellenberger/status/1333234568225144832,https://x.com/shellenberger,"We are more resilient than ever:

- Deaths from natural disasters declined over 90%

- We produce 25% more food than we need — our largest surpluses in history

And there is no scientific scenario for either of those trends to reverse themselves, even with high levels of warming",30-Nov-20,2020-11-30T02:21:06.000Z
"Houman David Hemmati, MD, PhD",@houmanhemmati,"https://pbs.twimg.com/media/GO7hNlya4AA9wOU?format=jpg&name=small, https://pbs.twimg.com/media/GO7hNlya4AA9wOU?format=jpg&name=small",118,317,37,10K,https://x.com/houmanhemmati/status/1796620929063420306,https://x.com/houmanhemmati,"Hey @GavinNewsom: While I have long called for more water storage & applaud any reasonable effort to build it, you quote the secretary who talks about “severe, climate-fueled droughts.” 2 things:

1. The drought is over. See below. Most reservoirs are full. 

2. Droughts are",31-May-24,2024-05-31T19:13:03.000Z
UN Climate Change,@UNFCCC,"https://pbs.twimg.com/media/DpO-xAwXcAEsZDt?format=jpg&name=small, https://pbs.twimg.com/media/DpO-xAwXcAEsZDt?format=jpg&name=small",272,262,12,2K,https://x.com/UNFCCC/status/1051566311522922496,https://x.com/UNFCCC,"A report by the @UN Office for Disaster Risk Reduction shows that economic losses from climate-related disasters are soaring. https://bit.ly/2IPD5DM As #ClimateChange increases the frequency & severity of weather extremes, low-income countries are hit hardest & need to prepare.",15-Oct-18,2018-10-14T20:12:00.000Z
UN Climate Change,@UNFCCC,"https://pbs.twimg.com/media/DpO-xAwXcAEsZDt?format=jpg&name=small, https://pbs.twimg.com/media/DpO-xAwXcAEsZDt?format=jpg&name=small",224,163,10,167,https://x.com/UNFCCC/status/1050394382497710080,https://x.com/UNFCCC,"6/21. On the “Preamble and Context” we heard the following key points from Parties on #LossAndDamage:

The group SUR highlighted that the paper needs to recognise developing countries needs and priorities, including bettering their ability to address #LossAndDamage, whilst the",10-Nov-18,2018-10-11T14:35:10.000Z
Loss and Damage Collaboration (L&DC),@LossandDamage,https://pbs.twimg.com/media/GXECVlybEAIjX3s?format=jpg&name=small,160,4,1,267,https://x.com/LossandDamage/status/1833251234155008112,https://x.com/LossandDamage,"Accross the world has warmed 1 degree C, humans have become safer than ever from climate danger. The rate of climate-related disaster death's from storms, floods, temperature extremes, wildfires, and drought—has fallen 98% in the last century.”
https://energytalkingpoints.com/what-should-government-do-to-address-climate-change/…",09-Sep-24,2024-09-09T21:08:49.000Z
Alex Epstein,@AlexEpstein,"https://pbs.twimg.com/media/GJ2ZTdKWoAExkOY?format=jpg&name=small, https://pbs.twimg.com/media/GJ2ZTdKWoAExkOY?format=jpg&name=small",96,218,5,5.8K,https://x.com/AlexEpstein/status/1773742389691142298,https://x.com/AlexEpstein,Have you heard about the catastrophic wildfires in California? Hundreds of thousands displaced by flood in Sudan? The unrelenting heat in Brazil? The 70% of the world's population expected to suffer rapid increase in extreme weather in the next twenty years?,29-Mar-24,2024-03-29T16:01:54.000Z
